#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 18 00 00 1 3232.791
2011 03 13 17 45 00 1 3232.793
2011 03 13 17 30 00 1 3232.794
2011 03 13 17 15 00 1 3232.816
2011 03 13 17 00 00 1 3232.842
2011 03 13 16 45 00 1 3232.869
2011 03 13 16 30 00 1 3232.878
2011 03 13 16 15 00 1 3232.887
2011 03 13 16 00 00 1 3232.897
2011 03 13 15 45 00 1 3232.951
2011 03 13 15 30 00 1 3232.944
2011 03 13 15 15 00 1 3232.949
2011 03 13 15 00 00 1 3232.953
2011 03 13 14 45 00 1 3232.990
2011 03 13 14 30 00 1 3232.997
2011 03 13 14 15 00 1 3233.003
2011 03 13 14 00 00 1 3233.013
2011 03 13 13 45 00 1 3233.029
2011 03 13 13 30 00 1 3233.044
2011 03 13 13 15 00 1 3233.029
2011 03 13 13 00 00 1 3233.063
2011 03 13 12 45 00 1 3233.052
2011 03 13 12 30 00 1 3233.058
2011 03 13 12 15 00 1 3233.078
2011 03 13 12 00 00 1 3233.073
2011 03 13 11 45 00 1 3233.063
2011 03 13 11 30 00 1 3233.097
2011 03 13 11 15 00 1 3233.096
2011 03 13 11 00 00 1 3233.092
2011 03 13 10 45 00 1 3233.132
2011 03 13 10 30 00 1 3233.103
2011 03 13 10 15 00 1 3233.094
2011 03 13 10 00 00 1 3233.126
2011 03 13 09 45 00 1 3233.114
2011 03 13 09 30 00 1 3233.129
2011 03 13 09 15 00 1 3233.154
2011 03 13 09 00 00 1 3233.147
2011 03 13 08 45 00 1 3233.156
2011 03 13 08 30 00 1 3233.177
2011 03 13 08 15 00 1 3233.169
2011 03 13 08 00 00 1 3233.194
2011 03 13 07 45 00 1 3233.194
2011 03 13 07 30 00 1 3233.222
2011 03 13 07 15 00 1 3233.194
2011 03 13 07 00 00 1 3233.245
2011 03 13 06 45 00 1 3233.237
2011 03 13 06 30 00 1 3233.244
2011 03 13 06 15 00 1 3233.245
2011 03 13 06 00 00 1 3233.259
2011 03 13 05 45 00 1 3233.265
2011 03 13 05 30 00 1 3233.276
2011 03 13 05 15 00 1 3233.273
2011 03 13 05 00 00 1 3233.274
2011 03 13 04 45 00 1 3233.279
2011 03 13 04 30 00 1 3233.272
2011 03 13 04 15 00 1 3233.278
2011 03 13 04 00 00 1 3233.278
2011 03 13 03 45 00 1 3233.253
2011 03 13 03 30 00 1 3233.262
2011 03 13 03 15 00 1 3233.238
2011 03 13 03 00 00 1 3233.237
2011 03 13 02 45 00 1 3233.238
2011 03 13 02 30 00 1 3233.207
2011 03 13 02 15 00 1 3233.204
2011 03 13 02 00 00 1 3233.183
2011 03 13 01 45 00 1 3233.185
2011 03 13 01 30 00 1 3233.159
2011 03 13 01 15 00 1 3233.120
2011 03 13 01 00 00 1 3233.105
2011 03 13 00 45 00 1 3233.097
2011 03 13 00 30 00 1 3233.085
2011 03 13 00 15 00 1 3233.060
