#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 18 00 00 1 3717.061
2011 03 13 17 45 00 1 3717.070
2011 03 13 17 30 00 1 3717.113
2011 03 13 17 15 00 1 3717.151
2011 03 13 17 00 00 1 3717.181
2011 03 13 16 45 00 1 3717.222
2011 03 13 16 30 00 1 3717.279
2011 03 13 16 15 00 1 3717.322
2011 03 13 16 00 00 1 3717.371
2011 03 13 15 45 00 1 3717.426
2011 03 13 15 30 00 1 3717.460
2011 03 13 15 15 00 1 3717.527
2011 03 13 15 00 00 1 3717.600
2011 03 13 14 45 00 1 3717.624
2011 03 13 14 30 00 1 3717.695
2011 03 13 14 15 00 1 3717.750
2011 03 13 14 00 00 1 3717.786
2011 03 13 13 45 00 1 3717.844
2011 03 13 13 30 00 1 3717.892
2011 03 13 13 15 00 1 3717.916
2011 03 13 13 00 00 1 3717.967
2011 03 13 12 45 00 1 3717.977
2011 03 13 12 30 00 1 3718.034
2011 03 13 12 15 00 1 3718.058
2011 03 13 12 00 00 1 3718.069
2011 03 13 11 45 00 1 3718.078
2011 03 13 11 30 00 1 3718.104
2011 03 13 11 15 00 1 3718.114
2011 03 13 11 00 00 1 3718.128
2011 03 13 10 45 00 1 3718.124
2011 03 13 10 30 00 1 3718.113
2011 03 13 10 15 00 1 3718.121
2011 03 13 10 00 00 1 3718.123
2011 03 13 09 45 00 1 3718.090
2011 03 13 09 30 00 1 3718.086
2011 03 13 09 15 00 1 3718.072
2011 03 13 09 00 00 1 3718.031
2011 03 13 08 45 00 1 3718.021
2011 03 13 08 30 00 1 3718.002
2011 03 13 08 15 00 1 3717.991
2011 03 13 08 00 00 1 3717.961
2011 03 13 07 45 00 1 3717.928
2011 03 13 07 30 00 1 3717.891
2011 03 13 07 15 00 1 3717.884
2011 03 13 07 00 00 1 3717.845
2011 03 13 06 45 00 1 3717.833
2011 03 13 06 30 00 1 3717.812
2011 03 13 06 15 00 1 3717.795
2011 03 13 06 00 00 1 3717.784
2011 03 13 05 45 00 1 3717.741
2011 03 13 05 30 00 1 3717.762
2011 03 13 05 15 00 1 3717.730
2011 03 13 05 00 00 1 3717.740
2011 03 13 04 45 00 1 3717.713
2011 03 13 04 30 00 1 3717.696
2011 03 13 04 15 00 1 3717.708
2011 03 13 04 00 00 1 3717.691
2011 03 13 03 45 00 1 3717.692
2011 03 13 03 30 00 1 3717.670
2011 03 13 03 15 00 1 3717.666
2011 03 13 03 00 00 1 3717.644
2011 03 13 02 45 00 1 3717.668
2011 03 13 02 30 00 1 3717.661
2011 03 13 02 15 00 1 3717.645
2011 03 13 02 00 00 1 3717.642
2011 03 13 01 45 00 1 3717.614
2011 03 13 01 30 00 1 3717.612
2011 03 13 01 15 00 1 3717.610
2011 03 13 01 00 00 1 3717.627
2011 03 13 00 45 00 1 3717.595
2011 03 13 00 30 00 1 3717.563
2011 03 13 00 15 00 1 3717.561
2011 03 13 00 00 00 1 3717.551
2011 03 12 23 45 00 1 3717.541
2011 03 12 23 30 00 1 3717.523
2011 03 12 23 15 00 1 3717.497
2011 03 12 23 00 00 1 3717.469
2011 03 12 22 45 00 1 3717.469
2011 03 12 22 30 00 1 3717.423
2011 03 12 22 15 00 1 3717.391
2011 03 12 22 00 00 1 3717.394
2011 03 12 21 45 00 1 3717.352
2011 03 12 21 30 00 1 3717.318
2011 03 12 21 15 00 1 3717.272
2011 03 12 21 00 00 1 3717.295
2011 03 12 20 45 00 1 3717.240
2011 03 12 20 30 00 1 3717.202
2011 03 12 20 15 00 1 3717.203
2011 03 12 20 00 00 1 3717.172
2011 03 12 19 45 00 1 3717.124
2011 03 12 19 30 00 1 3717.162
2011 03 12 19 15 00 1 3717.105
2011 03 12 19 00 00 1 3717.133
2011 03 12 18 45 00 1 3717.115
2011 03 12 18 30 00 1 3717.102
2011 03 12 18 15 00 1 3717.099
2011 03 12 18 00 00 1 3717.119
2011 03 12 17 45 00 1 3717.127
2011 03 12 17 30 00 1 3717.110
2011 03 12 17 15 00 1 3717.124
2011 03 12 17 00 00 1 3717.128
2011 03 12 16 45 00 1 3717.152
2011 03 12 16 30 00 1 3717.188
2011 03 12 16 15 00 1 3717.205
2011 03 12 16 00 00 1 3717.227
2011 03 12 15 45 00 1 3717.251
2011 03 12 15 30 00 1 3717.314
2011 03 12 15 15 00 1 3717.336
2011 03 12 15 00 00 1 3717.370
2011 03 12 14 45 00 1 3717.387
2011 03 12 14 30 00 1 3717.466
2011 03 12 14 15 00 1 3717.503
2011 03 12 14 00 00 1 3717.529
2011 03 12 13 45 00 1 3717.580
2011 03 12 13 30 00 1 3717.614
2011 03 12 13 15 00 1 3717.687
2011 03 12 13 00 00 1 3717.702
2011 03 12 12 45 00 1 3717.766
2011 03 12 12 30 00 1 3717.816
2011 03 12 12 15 00 1 3717.836
2011 03 12 12 00 00 1 3717.897
2011 03 12 11 45 00 1 3717.933
2011 03 12 11 30 00 1 3717.955
2011 03 12 11 15 00 1 3717.977
2011 03 12 11 00 00 1 3718.024
2011 03 12 10 45 00 1 3718.062
2011 03 12 10 30 00 1 3718.055
2011 03 12 10 15 00 1 3718.083
2011 03 12 10 00 00 1 3718.104
2011 03 12 09 45 00 1 3718.121
2011 03 12 09 30 00 1 3718.117
2011 03 12 09 15 00 1 3718.119
2011 03 12 09 00 00 1 3718.126
2011 03 12 08 45 00 1 3718.096
2011 03 12 08 30 00 1 3718.120
2011 03 12 08 15 00 1 3718.065
2011 03 12 08 00 00 1 3718.046
2011 03 12 07 45 00 1 3718.066
2011 03 12 07 30 00 1 3717.970
2011 03 12 07 15 00 1 3718.018
