#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 17 08 45 00 1 4431.853
2011 03 17 08 30 00 1 4431.882
2011 03 17 08 15 00 1 4431.911
2011 03 17 08 00 00 1 4431.935
2011 03 17 07 45 00 1 4431.959
2011 03 17 07 30 00 1 4431.979
2011 03 17 07 15 00 1 4431.993
2011 03 17 07 00 00 1 4432.006
2011 03 17 06 45 00 1 4432.014
2011 03 17 06 30 00 1 4432.023
2011 03 17 06 15 00 1 4432.028
2011 03 17 06 00 00 1 4432.030
2011 03 17 05 45 00 1 4432.022
2011 03 17 05 30 00 1 4432.016
2011 03 17 05 15 00 1 4432.006
2011 03 17 05 00 00 1 4431.996
2011 03 17 04 45 00 1 4431.986
2011 03 17 04 30 00 1 4431.973
2011 03 17 04 15 00 1 4431.958
2011 03 17 04 00 00 1 4431.941
2011 03 17 03 45 00 1 4431.930
2011 03 17 03 30 00 1 4431.916
2011 03 17 03 15 00 1 4431.900
2011 03 17 03 00 00 1 4431.888
2011 03 17 02 45 00 1 4431.876
2011 03 17 02 30 00 1 4431.867
2011 03 17 02 15 00 1 4431.859
2011 03 17 02 00 00 1 4431.856
2011 03 17 01 45 00 1 4431.848
2011 03 17 01 30 00 1 4431.843
2011 03 17 01 15 00 1 4431.842
2011 03 17 01 00 00 1 4431.841
2011 03 17 00 45 00 1 4431.841
2011 03 17 00 30 00 1 4431.844
2011 03 17 00 15 00 1 4431.846
2011 03 17 00 00 00 1 4431.850
2011 03 16 23 45 00 1 4431.855
2011 03 16 23 30 00 1 4431.863
2011 03 16 23 15 00 1 4431.877
2011 03 16 23 00 00 1 4431.886
2011 03 16 22 45 00 1 4431.890
2011 03 16 22 30 00 1 4431.900
2011 03 16 22 15 00 1 4431.915
2011 03 16 22 00 00 1 4431.927
2011 03 16 21 45 00 1 4431.937
2011 03 16 21 30 00 1 4431.941
2011 03 16 21 15 00 1 4431.949
2011 03 16 21 00 00 1 4431.950
2011 03 16 20 45 00 1 4431.959
2011 03 16 20 30 00 1 4431.962
2011 03 16 20 15 00 1 4431.968
2011 03 16 20 00 00 1 4431.966
2011 03 16 19 45 00 1 4431.963
2011 03 16 19 30 00 1 4431.958
2011 03 16 19 15 00 1 4431.949
2011 03 16 19 00 00 1 4431.938
2011 03 16 18 45 00 1 4431.928
2011 03 16 18 30 00 1 4431.909
2011 03 16 18 15 00 1 4431.896
2011 03 16 18 00 00 1 4431.877
2011 03 16 17 45 00 1 4431.858
2011 03 16 17 30 00 1 4431.834
2011 03 16 17 15 00 1 4431.807
2011 03 16 17 00 00 1 4431.779
2011 03 16 16 45 00 1 4431.747
2011 03 16 16 30 00 1 4431.718
2011 03 16 16 15 00 1 4431.688
2011 03 16 16 00 00 1 4431.655
2011 03 16 15 45 00 1 4431.626
2011 03 16 15 30 00 1 4431.589
2011 03 16 15 15 00 1 4431.561
2011 03 16 15 00 00 1 4431.531
2011 03 16 14 45 00 1 4431.505
2011 03 16 14 30 00 1 4431.480
2011 03 16 14 15 00 1 4431.460
2011 03 16 14 00 00 1 4431.439
2011 03 16 13 45 00 1 4431.421
2011 03 16 13 30 00 1 4431.407
2011 03 16 13 15 00 1 4431.391
2011 03 16 13 00 00 1 4431.382
2011 03 16 12 45 00 1 4431.379
2011 03 16 12 30 00 1 4431.375
2011 03 16 12 15 00 1 4431.377
2011 03 16 12 00 00 1 4431.381
2011 03 16 11 45 00 1 4431.391
2011 03 16 11 30 00 1 4431.403
2011 03 16 11 15 00 1 4431.420
2011 03 16 11 00 00 1 4431.433
2011 03 16 10 45 00 1 4431.452
2011 03 16 10 30 00 1 4431.473
2011 03 16 10 15 00 1 4431.500
2011 03 16 10 00 00 1 4431.533
2011 03 16 09 45 00 1 4431.564
2011 03 16 09 30 00 1 4431.594
2011 03 16 09 15 00 1 4431.627
2011 03 16 09 00 00 1 4431.659
2011 03 16 08 45 00 1 4431.698
2011 03 16 08 30 00 1 4431.732
2011 03 16 08 15 00 1 4431.770
2011 03 16 08 00 00 1 4431.802
2011 03 16 07 45 00 1 4431.829
2011 03 16 07 30 00 1 4431.859
2011 03 16 07 15 00 1 4431.886
2011 03 16 07 00 00 1 4431.910
2011 03 16 06 45 00 1 4431.930
2011 03 16 06 30 00 1 4431.952
2011 03 16 06 15 00 1 4431.968
2011 03 16 06 00 00 1 4431.987
2011 03 16 05 45 00 1 4432.000
2011 03 16 05 30 00 1 4432.007
2011 03 16 05 15 00 1 4432.012
2011 03 16 05 00 00 1 4432.013
2011 03 16 04 45 00 1 4432.016
2011 03 16 04 30 00 1 4432.010
2011 03 16 04 15 00 1 4432.008
2011 03 16 04 00 00 1 4432.003
2011 03 16 03 45 00 1 4431.990
2011 03 16 03 30 00 1 4431.984
2011 03 16 03 15 00 1 4431.979
2011 03 16 03 00 00 1 4431.972
2011 03 16 02 45 00 1 4431.956
2011 03 16 02 30 00 1 4431.942
2011 03 16 02 15 00 1 4431.931
2011 03 16 02 00 00 1 4431.919
2011 03 16 01 45 00 1 4431.915
2011 03 16 01 30 00 1 4431.910
2011 03 16 01 15 00 1 4431.898
2011 03 16 01 00 00 1 4431.893
2011 03 16 00 45 00 1 4431.885
2011 03 16 00 30 00 1 4431.879
2011 03 16 00 15 00 1 4431.879
2011 03 16 00 00 00 1 4431.871
2011 03 15 23 45 00 1 4431.882
2011 03 15 23 30 00 1 4431.878
2011 03 15 23 15 00 1 4431.874
2011 03 15 23 00 00 1 4431.878
2011 03 15 22 45 00 1 4431.890
2011 03 15 22 30 00 1 4431.890
2011 03 15 22 15 00 1 4431.897
2011 03 15 22 00 00 1 4431.896
2011 03 15 21 45 00 1 4431.907
2011 03 15 21 30 00 1 4431.916
2011 03 15 21 15 00 1 4431.926
2011 03 15 21 00 00 1 4431.929
2011 03 15 20 45 00 1 4431.936
2011 03 15 20 30 00 1 4431.935
2011 03 15 20 15 00 1 4431.939
2011 03 15 20 00 00 1 4431.941
2011 03 15 19 45 00 1 4431.941
2011 03 15 19 30 00 1 4431.941
2011 03 15 19 15 00 1 4431.941
2011 03 15 19 00 00 1 4431.937
2011 03 15 18 45 00 1 4431.936
2011 03 15 18 30 00 1 4431.926
2011 03 15 18 15 00 1 4431.916
2011 03 15 18 00 00 1 4431.907
2011 03 15 17 45 00 1 4431.889
2011 03 15 17 30 00 1 4431.874
2011 03 15 17 15 00 1 4431.852
2011 03 15 17 00 00 1 4431.831
2011 03 15 16 45 00 1 4431.808
2011 03 15 16 30 00 1 4431.783
2011 03 15 16 15 00 1 4431.750
2011 03 15 16 00 00 1 4431.715
2011 03 15 15 45 00 1 4431.691
