#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 18 00 00 1 2737.428
2011 03 13 17 45 00 1 2737.511
2011 03 13 17 30 00 1 2737.598
2011 03 13 17 15 00 1 2737.704
2011 03 13 17 00 00 1 2737.791
2011 03 13 16 45 00 1 2737.888
2011 03 13 16 30 00 1 2737.962
2011 03 13 16 15 00 1 2738.079
2011 03 13 16 00 00 1 2738.159
2011 03 13 15 45 00 1 2738.225
2011 03 13 15 30 00 1 2738.296
2011 03 13 15 15 00 1 2738.365
2011 03 13 15 00 00 1 2738.431
2011 03 13 14 45 00 1 2738.477
2011 03 13 14 30 00 1 2738.516
2011 03 13 14 15 00 1 2738.555
2011 03 13 14 00 00 1 2738.596
2011 03 13 13 45 00 1 2738.608
2011 03 13 13 30 00 1 2738.614
2011 03 13 13 15 00 1 2738.616
2011 03 13 13 00 00 1 2738.633
2011 03 13 12 45 00 1 2738.595
2011 03 13 12 30 00 1 2738.588
2011 03 13 12 15 00 1 2738.540
2011 03 13 12 00 00 1 2738.521
2011 03 13 11 45 00 1 2738.469
2011 03 13 11 30 00 1 2738.422
2011 03 13 11 15 00 1 2738.372
2011 03 13 11 00 00 1 2738.307
2011 03 13 10 45 00 1 2738.270
2011 03 13 10 30 00 1 2738.221
2011 03 13 10 15 00 1 2738.150
2011 03 13 10 00 00 1 2738.098
2011 03 13 09 45 00 1 2738.073
2011 03 13 09 30 00 1 2738.010
2011 03 13 09 15 00 1 2737.961
2011 03 13 09 00 00 1 2737.931
2011 03 13 08 45 00 1 2737.869
2011 03 13 08 30 00 1 2737.837
2011 03 13 08 15 00 1 2737.801
2011 03 13 08 00 00 1 2737.760
2011 03 13 07 45 00 1 2737.755
2011 03 13 07 30 00 1 2737.730
2011 03 13 07 15 00 1 2737.708
2011 03 13 07 00 00 1 2737.694
2011 03 13 06 45 00 1 2737.710
2011 03 13 06 30 00 1 2737.693
2011 03 13 06 15 00 1 2737.722
2011 03 13 06 00 00 1 2737.712
2011 03 13 05 45 00 1 2737.757
2011 03 13 05 30 00 1 2737.766
2011 03 13 05 15 00 1 2737.799
2011 03 13 05 00 00 1 2737.827
2011 03 13 04 45 00 1 2737.840
2011 03 13 04 30 00 1 2737.888
2011 03 13 04 15 00 1 2737.895
2011 03 13 04 00 00 1 2737.950
2011 03 13 03 45 00 1 2737.948
2011 03 13 03 30 00 1 2737.991
2011 03 13 03 15 00 1 2737.969
2011 03 13 03 00 00 1 2738.010
2011 03 13 02 45 00 1 2738.008
2011 03 13 02 30 00 1 2738.050
2011 03 13 02 15 00 1 2738.002
2011 03 13 02 00 00 1 2738.007
2011 03 13 01 45 00 1 2737.991
2011 03 13 01 30 00 1 2737.961
2011 03 13 01 15 00 1 2737.962
2011 03 13 01 00 00 1 2737.908
2011 03 13 00 45 00 1 2737.846
2011 03 13 00 30 00 1 2737.812
2011 03 13 00 15 00 1 2737.771
2011 03 13 00 00 00 1 2737.710
2011 03 12 23 45 00 1 2737.641
2011 03 12 23 30 00 1 2737.580
2011 03 12 23 15 00 1 2737.532
2011 03 12 23 00 00 1 2737.464
2011 03 12 22 45 00 1 2737.360
2011 03 12 22 30 00 1 2737.334
2011 03 12 22 15 00 1 2737.258
2011 03 12 22 00 00 1 2737.202
2011 03 12 21 45 00 1 2737.136
2011 03 12 21 30 00 1 2737.074
2011 03 12 21 15 00 1 2737.034
2011 03 12 21 00 00 1 2736.982
2011 03 12 20 45 00 1 2736.951
2011 03 12 20 30 00 1 2736.945
2011 03 12 20 15 00 1 2736.913
2011 03 12 20 00 00 1 2736.888
2011 03 12 19 45 00 1 2736.871
2011 03 12 18 59 00 2 2736.909
2011 03 12 18 58 00 2 2736.916
2011 03 12 18 57 00 2 2736.916
2011 03 12 18 56 00 2 2736.916
2011 03 12 18 55 00 2 2736.922
2011 03 12 18 54 00 2 2736.926
2011 03 12 18 53 00 2 2736.925
2011 03 12 18 52 00 2 2736.928
2011 03 12 18 51 00 2 2736.936
2011 03 12 18 50 00 2 2736.941
2011 03 12 18 49 00 2 2736.941
2011 03 12 18 48 00 2 2736.946
2011 03 12 18 47 00 2 2736.950
2011 03 12 18 46 00 2 2736.950
2011 03 12 18 45 00 2 2736.952
2011 03 12 18 44 00 2 2736.957
2011 03 12 18 43 00 2 2736.957
2011 03 12 18 42 00 2 2736.956
2011 03 12 18 41 00 2 2736.959
2011 03 12 18 40 00 2 2736.960
2011 03 12 18 39 00 2 2736.966
2011 03 12 18 38 00 2 2736.966
2011 03 12 18 37 00 2 2736.971
2011 03 12 18 36 00 2 2736.982
2011 03 12 18 35 00 2 2736.977
2011 03 12 18 34 00 2 2736.983
2011 03 12 18 33 00 2 2736.994
2011 03 12 18 32 00 2 2736.988
