#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 18 00 00 1 5862.036
2011 03 13 17 45 00 1 5862.022
2011 03 13 17 30 00 1 5862.011
2011 03 13 17 15 00 1 5862.001
2011 03 13 17 00 00 1 5861.973
2011 03 13 16 45 00 1 5861.971
2011 03 13 16 30 00 1 5861.957
2011 03 13 16 15 00 1 5861.930
2011 03 13 16 00 00 1 5861.907
2011 03 13 15 45 00 1 5861.904
2011 03 13 15 30 00 1 5861.899
2011 03 13 15 15 00 1 5861.861
2011 03 13 15 00 00 1 5861.854
2011 03 13 14 45 00 1 5861.829
2011 03 13 14 30 00 1 5861.829
2011 03 13 14 15 00 1 5861.811
2011 03 13 14 00 00 1 5861.802
2011 03 13 13 45 00 1 5861.791
2011 03 13 13 30 00 1 5861.793
2011 03 13 13 15 00 1 5861.775
2011 03 13 13 00 00 1 5861.768
2011 03 13 12 45 00 1 5861.748
2011 03 13 12 30 00 1 5861.764
2011 03 13 12 15 00 1 5861.756
2011 03 13 12 00 00 1 5861.753
2011 03 13 11 45 00 1 5861.752
2011 03 13 11 30 00 1 5861.732
2011 03 13 11 15 00 1 5861.746
2011 03 13 11 00 00 1 5861.738
2011 03 13 10 45 00 1 5861.737
2011 03 13 10 30 00 1 5861.758
2011 03 13 10 15 00 1 5861.750
2011 03 13 10 00 00 1 5861.737
2011 03 13 09 45 00 1 5861.739
2011 03 13 09 30 00 1 5861.759
2011 03 13 09 15 00 1 5861.758
2011 03 13 09 00 00 1 5861.763
2011 03 13 08 45 00 1 5861.764
2011 03 13 08 30 00 1 5861.773
2011 03 13 08 15 00 1 5861.788
2011 03 13 08 00 00 1 5861.811
2011 03 13 07 45 00 1 5861.806
2011 03 13 07 30 00 1 5861.819
2011 03 13 07 15 00 1 5861.824
2011 03 13 07 00 00 1 5861.814
2011 03 13 06 45 00 1 5861.843
2011 03 13 06 30 00 1 5861.848
2011 03 13 06 15 00 1 5861.860
2011 03 13 06 00 00 1 5861.867
2011 03 13 05 45 00 1 5861.861
2011 03 13 05 30 00 1 5861.856
2011 03 13 05 15 00 1 5861.890
2011 03 13 05 00 00 1 5861.878
2011 03 13 04 45 00 1 5861.891
2011 03 13 04 30 00 1 5861.888
