#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 12 16 31 00 2 4682.615
2011 03 12 16 30 00 2 4682.617
2011 03 12 16 29 00 2 4682.614
2011 03 12 16 28 00 2 4682.612
2011 03 12 16 27 00 2 4682.607
2011 03 12 16 26 00 2 4682.607
2011 03 12 16 25 00 2 4682.609
2011 03 12 16 24 00 2 4682.608
2011 03 12 16 23 00 2 4682.613
2011 03 12 16 22 00 2 4682.614
2011 03 12 16 21 00 2 4682.608
2011 03 12 16 20 00 2 4682.610
2011 03 12 16 19 00 2 4682.617
2011 03 12 16 18 00 2 4682.619
2011 03 12 16 17 00 2 4682.624
2011 03 12 16 16 00 2 4682.633
2011 03 12 16 15 00 2 4682.640
2011 03 12 16 14 00 2 4682.639
2011 03 12 16 13 00 2 4682.640
2011 03 12 16 12 00 2 4682.635
2011 03 12 16 11 00 2 4682.632
2011 03 12 16 10 00 2 4682.634
2011 03 12 16 09 00 2 4682.631
2011 03 12 16 08 00 2 4682.627
2011 03 12 16 07 00 2 4682.625
2011 03 12 16 06 00 2 4682.629
2011 03 12 16 05 00 2 4682.635
2011 03 12 16 04 00 2 4682.633
2011 03 12 16 03 00 2 4682.630
2011 03 12 16 02 00 2 4682.626
2011 03 12 16 01 00 2 4682.627
2011 03 12 16 00 00 2 4682.628
2011 03 12 15 59 00 2 4682.629
2011 03 12 15 58 00 2 4682.627
2011 03 12 15 57 00 2 4682.631
2011 03 12 15 56 00 2 4682.626
2011 03 12 15 55 00 2 4682.625
2011 03 12 15 54 00 2 4682.627
2011 03 12 15 53 00 2 4682.622
2011 03 12 15 52 00 2 4682.627
2011 03 12 15 51 00 2 4682.630
2011 03 12 15 50 00 2 4682.626
2011 03 12 15 49 00 2 4682.619
2011 03 12 15 48 00 2 4682.624
2011 03 12 15 47 00 2 4682.623
2011 03 12 15 46 00 2 4682.617
2011 03 12 15 45 00 2 4682.610
2011 03 12 15 44 00 2 4682.610
2011 03 12 15 43 00 2 4682.602
2011 03 12 15 42 00 2 4682.593
2011 03 12 15 41 00 2 4682.599
2011 03 12 15 40 00 2 4682.596
2011 03 12 15 39 00 2 4682.592
2011 03 12 15 38 00 2 4682.591
2011 03 12 15 37 00 2 4682.589
2011 03 12 15 36 00 2 4682.591
2011 03 12 15 35 00 2 4682.592
2011 03 12 15 34 00 2 4682.599
2011 03 12 15 33 00 2 4682.600
2011 03 12 15 32 00 2 4682.599
2011 03 12 15 31 00 2 4682.597
2011 03 12 15 30 00 2 4682.602
2011 03 12 15 29 00 2 4682.602
2011 03 12 15 28 00 2 4682.601
2011 03 12 15 27 00 2 4682.608
2011 03 12 15 26 00 2 4682.611
2011 03 12 15 25 00 2 4682.609
2011 03 12 15 24 00 2 4682.611
2011 03 12 15 23 00 2 4682.609
2011 03 12 15 22 00 2 4682.606
2011 03 12 15 21 00 2 4682.608
2011 03 12 15 20 00 2 4682.614
2011 03 12 15 19 00 2 4682.622
2011 03 12 15 18 00 2 4682.628
2011 03 12 15 17 00 2 4682.626
2011 03 12 15 16 00 2 4682.621
2011 03 12 15 15 00 2 4682.620
2011 03 12 15 14 00 2 4682.628
2011 03 12 15 13 00 2 4682.635
2011 03 12 15 12 00 2 4682.634
2011 03 12 15 11 00 2 4682.634
2011 03 12 15 10 00 2 4682.632
2011 03 12 15 09 00 2 4682.638
2011 03 12 15 08 00 2 4682.637
2011 03 12 15 07 00 2 4682.632
2011 03 12 15 06 00 2 4682.636
2011 03 12 15 05 00 2 4682.634
2011 03 12 15 04 00 2 4682.632
2011 03 12 15 03 00 2 4682.627
2011 03 12 15 02 00 2 4682.622
2011 03 12 15 01 00 2 4682.618
2011 03 12 15 00 00 2 4682.613
2011 03 12 14 59 00 2 4682.613
2011 03 12 14 58 00 2 4682.622
2011 03 12 14 57 00 2 4682.622
2011 03 12 14 56 00 2 4682.623
2011 03 12 14 55 00 2 4682.628
2011 03 12 14 54 00 2 4682.622
2011 03 12 14 53 00 2 4682.613
2011 03 12 14 52 00 2 4682.610
2011 03 12 14 51 00 2 4682.603
2011 03 12 14 50 00 2 4682.596
2011 03 12 14 49 00 2 4682.590
2011 03 12 14 48 00 2 4682.589
2011 03 12 14 47 00 2 4682.598
2011 03 12 14 46 00 2 4682.600
2011 03 12 14 45 00 2 4682.600
2011 03 12 14 44 00 2 4682.600
2011 03 12 14 43 00 2 4682.603
2011 03 12 14 42 00 2 4682.610
2011 03 12 14 41 00 2 4682.614
2011 03 12 14 40 00 2 4682.620
2011 03 12 14 39 00 2 4682.627
2011 03 12 14 38 00 2 4682.626
2011 03 12 14 37 00 2 4682.628
2011 03 12 14 36 00 2 4682.624
2011 03 12 14 35 00 2 4682.620
2011 03 12 14 34 00 2 4682.621
2011 03 12 14 33 00 2 4682.627
2011 03 12 14 32 00 2 4682.637
2011 03 12 14 31 00 2 4682.638
2011 03 12 14 30 00 2 4682.638
2011 03 12 14 29 00 2 4682.645
2011 03 12 14 28 00 2 4682.651
2011 03 12 14 27 00 2 4682.651
2011 03 12 14 26 00 2 4682.640
2011 03 12 14 25 00 2 4682.638
2011 03 12 14 24 00 2 4682.645
2011 03 12 14 23 00 2 4682.655
2011 03 12 14 22 00 2 4682.653
2011 03 12 14 21 00 2 4682.648
2011 03 12 14 20 00 2 4682.650
2011 03 12 14 19 00 2 4682.648
2011 03 12 14 18 00 2 4682.647
2011 03 12 14 17 00 2 4682.644
2011 03 12 14 16 00 2 4682.643
2011 03 12 14 15 00 2 4682.642
2011 03 12 14 14 00 2 4682.636
2011 03 12 14 13 00 2 4682.631
2011 03 12 14 12 00 2 4682.629
2011 03 12 14 11 00 2 4682.628
2011 03 12 14 10 00 2 4682.630
2011 03 12 14 09 00 2 4682.621
2011 03 12 14 08 00 2 4682.618
2011 03 12 14 07 00 2 4682.621
2011 03 12 14 06 00 2 4682.621
2011 03 12 14 05 00 2 4682.619
2011 03 12 14 04 00 2 4682.624
2011 03 12 14 03 00 2 4682.627
2011 03 12 14 02 00 2 4682.627
2011 03 12 14 01 00 2 4682.625
2011 03 12 14 00 00 2 4682.625
2011 03 12 13 59 00 2 4682.628
2011 03 12 13 58 00 2 4682.627
2011 03 12 13 57 00 2 4682.624
2011 03 12 13 56 00 2 4682.624
2011 03 12 13 55 00 2 4682.628
2011 03 12 13 54 00 2 4682.629
2011 03 12 13 53 00 2 4682.628
2011 03 12 13 52 00 2 4682.629
2011 03 12 13 51 00 2 4682.631
2011 03 12 13 50 00 2 4682.637
2011 03 12 13 49 00 2 4682.638
2011 03 12 13 48 00 2 4682.646
2011 03 12 13 47 00 2 4682.652
2011 03 12 13 46 00 2 4682.655
2011 03 12 13 45 00 2 4682.658
2011 03 12 13 44 00 2 4682.655
2011 03 12 13 43 00 2 4682.656
2011 03 12 13 42 00 2 4682.650
2011 03 12 13 41 00 2 4682.645
2011 03 12 13 40 00 2 4682.645
2011 03 12 13 39 00 2 4682.650
2011 03 12 13 38 00 2 4682.649
2011 03 12 13 37 00 2 4682.641
2011 03 12 13 36 00 2 4682.640
2011 03 12 13 35 00 2 4682.643
